FunctionId,SubmitTime,RTT,InvocationDelay,ResponseDelay,FunctionDuration,ActiveFunctionsAtRequest,ActiveFunctionsAtResponse
1,2,1756,654.454345703125,23.8525390625,1077.692985534668,1,99
2,2,1793,724.105224609375,23.064208984375,1045.830488204956,2,99
3,2,1238,179.302734375,37.376708984375,1021.3205814361572,3,99
4,2,1956,792.119140625,21.069580078125,1143.8112258911133,4,99
5,3,1605,533.531005859375,43.210693359375,1028.2583236694336,5,99
6,3,1470,429.864501953125,19.810302734375,1020.3251838684082,6,99
7,3,1345,264.93994140625,22.253662109375,1057.8064918518066,7,99
8,3,1288,225.755615234375,25.328857421875,1037.9154682159424,8,99
9,4,1372,258.29736328125,14.60205078125,1099.1005897521973,9,99
10,4,1723,630.134033203125,19.664794921875,1073.2011795043945,10,99
11,4,1550,493.28662109375,17.6513671875,1039.0620231628418,11,99
12,4,1719,637.767578125,15.79150390625,1065.4408931732178,12,99
13,5,1342,263.239013671875,25.606201171875,1053.154706954956,13,99
14,5,2008,800.723876953125,82.3681640625,1124.9079704284668,14,99
15,5,1760,556.6435546875,90.137939453125,1113.2185459136963,15,99
16,6,1472,423.635009765625,20.942138671875,1027.4229049682617,16,99
17,6,1691,611.38037109375,16.991455078125,1063.6281967163086,17,99
18,6,1719,645.084228515625,18.192626953125,1056.7231178283691,18,99
19,7,1852,710.752197265625,46.910888671875,1094.336986541748,19,99
20,7,1759,638.781982421875,57.696533203125,1062.5216960906982,20,99
21,7,2049,789.81689453125,22.153076171875,1237.030029296875,21,99
22,8,1816,625.79443359375,62.525634765625,1127.6798248291016,22,99
23,8,2004,706.558837890625,61.15478515625,1236.2861633300781,23,99
24,8,1460,398.146728515625,29.470947265625,1033.3824157714844,24,99
25,8,1815,709.751708984375,38.09130859375,1068.1569576263428,25,99
26,9,2151,834.796142578125,18.433837890625,1297.7700233459473,26,99
27,9,1597,509.214111328125,35.4599609375,1052.325963973999,27,99
28,10,1610,555.32421875,19.532470703125,1035.1433753967285,28,99
29,10,1529,482.09765625,16.37646484375,1030.5256843566895,29,99
30,10,1814,696.090087890625,25.517333984375,1092.3926830291748,30,99
31,10,1698,599.50341796875,27.31982421875,1072.1766948699951,31,99
32,11,1603,519.1943359375,26.2197265625,1058.5858821868896,32,99
33,12,1596,511.6767578125,31.408935546875,1052.9143810272217,33,99
34,12,1943,817.5927734375,40.380859375,1085.0262641906738,34,99
35,12,1578,526.2509765625,20.335693359375,1031.4133167266846,35,99
36,14,1373,313.946533203125,18.159912109375,1040.8935546875,36,99
37,14,1506,414.54248046875,17.921875,1073.535680770874,37,99
38,15,1624,544.705078125,31.712646484375,1047.5821495056152,38,99
39,15,1419,377.02001953125,23.8759765625,1018.103837966919,39,99
40,15,1399,301.8837890625,29.131591796875,1067.9848194122314,40,99
41,16,1908,694.275634765625,112.5380859375,1102.1862030029297,41,99
42,16,1723,634.2451171875,17.383056640625,1071.3717937469482,42,99
43,16,1937,801.49267578125,37.324462890625,1098.1829166412354,43,99
44,16,1453,400.6162109375,19.65283203125,1032.7308177947998,44,99
45,16,1606,540.72607421875,16.842529296875,1049.431324005127,45,99
46,17,1636,555.3466796875,14.473388671875,1066.1797523498535,46,99
47,17,1934,770.734619140625,35.187255859375,1128.0782222747803,47,99
48,17,1773,658.15869140625,28.34228515625,1086.4992141723633,48,99
49,17,1427,377.9677734375,21.5,1027.5323390960693,49,99
50,18,1548,470.4375,21.11376953125,1056.4486980438232,50,99
51,18,1885,809.989990234375,21.142822265625,1053.8673400878906,51,99
52,18,2022,765.0400390625,53.3017578125,1204.658031463623,52,99
53,19,2123,762.9716796875,80.555908203125,1279.4725894927979,53,99
54,19,2025,725.291748046875,56.7548828125,1242.9535388946533,54,99
55,20,1369,323.16748046875,18.06494140625,1028.7675857543945,55,99
56,20,1644,553.827880859375,21.466552734375,1069.7054862976074,56,99
57,21,1811,657.1064453125,23.205810546875,1130.6877136230469,57,99
58,21,1932,793.021728515625,35.2080078125,1103.7702560424805,58,98
59,21,1883,766.263427734375,20.457275390625,1096.2791442871094,59,99
60,21,1838,596.55029296875,47.13134765625,1194.3182945251465,60,99
61,21,1992,746.806640625,60.129638671875,1185.0638389587402,61,99
62,22,1836,687.68310546875,20.497314453125,1127.819538116455,62,99
63,22,1929,651.259521484375,51.51025390625,1226.2301445007324,63,98
64,22,1932,809.83056640625,39.40380859375,1083.7655067443848,64,99
65,23,2143,717.557861328125,28.454345703125,1396.9879150390625,65,99
66,23,1991,786.642822265625,75.770751953125,1128.5862922668457,66,99
67,23,1879,741.82421875,38.329345703125,1098.846435546875,67,99
68,24,1769,690.219970703125,20.682373046875,1058.0976009368896,68,99
69,24,1654,568.284912109375,37.75439453125,1047.9605197906494,69,98
70,24,1590,507.739013671875,28.205078125,1054.05592918396,70,99
71,25,1397,344.0322265625,29.846923828125,1023.1208801269531,71,99
72,25,1682,585.042236328125,25.8388671875,1071.1188316345215,72,99
