FunctionId,SubmitTime,RTT,InvocationDelay,ResponseDelay,FunctionDuration,ActiveFunctionsAtRequest,ActiveFunctionsAtResponse
1,5,1770,689.1953125,14.556396484375,1066.2484169006348,1,999
2,5,1652,437.580078125,126.5703125,1087.8493785858154,2,980
3,5,1738,624.295166015625,13.72900390625,1099.975824356079,3,999
4,5,1381,284.123046875,34.09521484375,1062.781810760498,4,980
5,6,1387,293.8076171875,14.450439453125,1078.7420272827148,5,999
6,6,1651,532.08935546875,34.449951171875,1084.460735321045,6,988
7,6,1789,690.22802734375,15.3447265625,1083.4271907806396,7,999
8,8,1316,231.332763671875,33.6513671875,1051.016092300415,8,934
9,8,1713,621.9072265625,32.69384765625,1058.398962020874,9,999
10,8,1651,529.451904296875,36.378662109375,1085.1693153381348,10,972
11,9,1683,568.92724609375,17.404052734375,1096.6687202453613,11,999
12,9,1647,458.109375,103.47607421875,1085.4144096374512,12,994
13,9,1647,430.844970703125,140.390380859375,1075.7646560668945,13,969
14,10,1778,647.109130859375,14.21435546875,1116.6763305664062,14,999
15,10,1519,432.760986328125,15.352294921875,1070.8868503570557,15,999
16,11,1811,738.054931640625,14.868408203125,1058.0766201019287,16,999
17,11,1331,236.96240234375,23.37890625,1070.6586837768555,17,937
18,11,1681,544.95703125,14.920166015625,1121.1228370666504,18,999
19,11,1522,409.539306640625,33.763671875,1078.6969661712646,19,999
20,11,1645,458.0693359375,87.034912109375,1100.895881652832,20,979
21,12,1762,683.103759765625,14.332763671875,1064.563274383545,21,999
22,12,1644,414.710205078125,119.387939453125,1109.9019050598145,22,991
23,12,1626,501.725341796875,71.6484375,1071.6261863708496,23,981
24,31,1343,223.802734375,14.890380859375,1104.306936264038,24,970
25,31,1391,294.890380859375,34.46337890625,1062.6463890075684,25,999
26,32,1331,208.333740234375,33.60107421875,1089.0650749206543,26,948
27,32,1118,27.59130859375,35.768310546875,1054.640531539917,27,660
28,32,1623,477.1640625,45.99951171875,1099.8363494873047,28,997
29,33,1625,480.3671875,52.696533203125,1091.9363498687744,29,979
30,33,1268,209.247802734375,14.761474609375,1043.9908504486084,30,878
31,33,1625,475.9326171875,70.537353515625,1078.5300731658936,31,976
32,34,1666,597.984130859375,14.440185546875,1053.5755157470703,32,999
33,34,1320,218.10205078125,34.060791015625,1067.8369998931885,33,939
34,34,1703,606.43310546875,13.359375,1083.207607269287,34,999
35,35,1624,410.166259765625,145.4462890625,1068.3872699737549,35,976
36,35,1354,238.395263671875,15.003173828125,1100.6016731262207,36,988
37,35,1692,577.328857421875,13.49658203125,1101.1745929718018,37,999
38,35,1779,659.196044921875,34.535400390625,1085.2687358856201,38,998
39,36,1622,479.07568359375,92.7861328125,1050.138235092163,39,976
40,36,1408,312.45947265625,14.8935546875,1080.6469917297363,40,999
41,36,1652,594.742919921875,14.63916015625,1042.6177978515625,41,999
42,37,1730,598.5732421875,34.0205078125,1097.4061489105225,42,999
43,37,1709,599.38623046875,13.94287109375,1095.6709384918213,43,999
44,37,1426,318.848388671875,14.67333984375,1092.4782752990723,44,999
45,37,1388,275.336669921875,14.63720703125,1098.0260372161865,45,999
46,38,1387,258.956787109375,14.54248046875,1113.5008335113525,46,999
47,38,1718,622.36083984375,33.6201171875,1062.0191097259521,47,999
48,38,1473,390.68359375,35.727783203125,1046.588659286499,48,999
49,39,1615,413.2734375,123.72412109375,1079.0026187896729,49,996
50,41,1616,433.810791015625,69.1376953125,1113.051414489746,50,982
51,41,1715,601.462158203125,13.53125,1100.0065803527832,51,999
52,41,1617,428.891845703125,109.1865234375,1078.9217948913574,52,978
53,42,1616,514.304443359375,22.556884765625,1079.1387557983398,53,974
54,42,1616,473.386962890625,72.391845703125,1070.221185684204,54,979
55,42,1689,570.366455078125,33.22802734375,1085.4055881500244,55,999
56,42,1615,471.38037109375,91.93603515625,1051.6836643218994,56,979
57,42,1614,466.376708984375,69.927734375,1078.69553565979,57,981
58,43,1614,490.197265625,72.7080078125,1051.0945320129395,58,981
59,43,1670,543.02880859375,33.7939453125,1093.177318572998,59,999
60,43,1631,512.497802734375,13.86181640625,1104.640245437622,60,999
61,43,1733,650.05419921875,14.529296875,1068.4165954589844,61,999
62,43,1436,322.973388671875,14.012451171875,1100.0142097473145,62,999
63,44,1723,610.74755859375,32.90283203125,1079.3497562408447,63,999
64,44,1612,410.194091796875,88.196533203125,1113.6093139648438,64,994
65,44,1449,349.650146484375,14.97607421875,1084.373950958252,65,999
66,45,1614,512.2763671875,43.069091796875,1058.654546737671,66,975
